mq2,mq135,temp,hum,lat,lon,alt
4.09,4465.60,28,29,52.471104,13.430178,123
4.09,128.42,28,29,52.471146,13.430218,120.5
4.09,128.42,28,28,52.471153,13.430231,120.5
4.09,122.38,28,28,52.471153,13.430231,120
4.24,125.37,28,28,52.471138,13.430222,121
3.94,128.42,28,28,52.470997,13.430083,122
3.94,125.37,28,28,52.47089,13.42999,124.7
3.94,125.37,28,28,52.470848,13.429954,124.7
3.94,119.44,28,28,52.470848,13.429954,125.2
3.79,122.38,29,22,52.470829,13.429943,125.6
3.94,122.38,28,28,52.470776,13.429901,126.6
3.79,122.38,28,28,52.470741,13.429876,126.6
3.79,119.44,28,28,52.470741,13.429876,126.8
3.79,122.38,28,23,52.470722,13.429856,126.8
3.79,119.44,28,27,52.470722,13.429856,127
3.79,122.38,28,20,52.470673,13.429813,127
3.65,122.38,28,24,52.470631,13.429783,127
3.65,119.44,28,28,52.470631,13.429783,127.1
3.79,119.44,28,19,52.470619,13.429777,127.3
3.65,122.38,28,28,52.470612,13.429767,124.9
3.65,119.44,28,27,52.470596,13.429768,124.9
3.79,116.55,28,24,52.470596,13.429768,124.8
3.51,119.44,28,19,52.470585,13.429763,124.8
3.65,116.55,28,27,52.470585,13.429763,125
3.65,116.55,28,19,52.470566,13.429761,125.2
3.79,119.44,28,22,52.470551,13.429749,125.2
3.65,113.71,28,24,52.470551,13.429749,125.3
3.65,119.44,28,17,52.470531,13.429744,125.3
3.65,113.71,28,22,52.470531,13.429744,125.1
3.65,119.44,28,17,52.470516,13.429749,124.7
3.65,116.55,29,22,52.470501,13.429748,124.7
3.65,116.55,29,21,52.470501,13.429748,123.8
3.51,116.55,28,17,52.470516,13.429758,123.8
3.65,113.71,29,19,52.470516,13.429758,117.4
3.51,116.55,28,17,52.470524,13.429759,113.8
3.51,116.55,28,17,52.470516,13.429751,109.9
3.51,119.44,28,24,52.470512,13.429759,109.9
3.51,113.71,28,22,52.470512,13.429759,110
3.38,116.55,29,16,52.470516,13.429765,108.2
3.51,113.71,29,19,52.470501,13.42974,103.3
3.51,113.71,29,19,52.470482,13.429716,103.3
3.51,110.93,29,22,52.470482,13.429716,97.4
3.51,113.71,29,16,52.470459,13.429701,93.1
3.38,113.71,28,19,52.470444,13.429701,91.6
3.51,113.71,29,19,52.470436,13.429694,91.6
3.38,110.93,29,19,52.470436,13.429694,90.3
3.38,113.71,29,16,52.470432,13.429697,90.3
3.38,110.93,29,16,52.470432,13.429697,90
3.38,113.71,29,16,52.470428,13.42969,86.8
3.38,113.71,29,16,52.470421,13.429692,86.8
3.51,108.19,29,18,52.470421,13.429692,86.1
3.38,110.93,29,16,52.470413,13.429695,86.1
3.51,108.19,29,18,52.470413,13.429695,85.8
3.38,113.71,29,16,52.470406,13.4297,86.2
3.38,110.93,29,18,52.470394,13.429703,86.2
3.38,105.50,29,20,52.470394,13.429703,85.7
3.51,110.93,29,16,52.470387,13.429691,85.7
3.13,108.19,29,17,52.470387,13.429691,82.6
3.38,110.93,29,16,52.470379,13.429668,78.1
3.51,110.93,29,21,52.470375,13.429658,78.1
3.51,108.19,29,16,52.470375,13.429658,76.6
3.38,110.93,29,16,52.470367,13.429663,76.6
3.38,108.19,29,16,52.470367,13.429663,76.6
3.38,110.93,29,16,52.47036,13.429667,76.6
3.38,110.93,29,16,52.470352,13.42967,76.6
3.38,105.50,29,16,52.470352,13.42967,76.8
3.38,110.93,29,16,52.470345,13.429675,76.4
3.38,110.93,29,16,52.470337,13.429666,73.9
3.25,110.93,29,16,52.470333,13.42966,71.6
3.25,110.93,29,16,52.470325,13.429654,71.6
3.38,105.50,29,16,52.470325,13.429654,68.6
3.25,108.19,29,16,52.470322,13.429655,68.5
3.25,108.19,29,16,52.47031,13.429654,67
3.25,108.19,29,16,52.470303,13.429654,67
3.25,102.87,29,18,52.470303,13.429654,66.7
3.13,105.50,29,16,52.470295,13.429654,66.7
3.25,102.87,29,16,52.470295,13.429654,66.5
3.13,102.87,29,16,52.470287,13.429659,67.1
3.13,105.50,29,16,52.470276,13.429662,67.1
3.25,100.28,29,16,52.470276,13.429662,67.6
3.13,102.87,29,16,52.470268,13.429664,67.6
3.13,100.28,29,16,52.470268,13.429664,67.6
3.13,105.50,29,16,52.470257,13.429667,67.3
3.00,102.87,29,16,52.470245,13.42967,67.3
3.13,100.28,29,16,52.470245,13.42967,67.8
3.13,102.87,29,16,52.470238,13.429677,67.8
3.13,102.87,29,16,52.470238,13.429677,68.3
3.25,102.87,29,16,52.47023,13.429685,68.3
3.13,108.19,29,16,52.470219,13.429691,68.3
3.25,102.87,29,16,52.470219,13.429691,68.5
3.13,108.19,29,16,52.470211,13.429699,68.5
3.25,102.87,29,16,52.470211,13.429699,68.8
3.25,105.50,29,16,52.470192,13.429707,69.3
3.13,108.19,29,16,52.470177,13.42971,69.3
3.25,105.50,29,16,52.470177,13.42971,69.6
3.25,105.50,29,16,52.470165,13.429717,70
3.13,108.19,29,16,52.47015,13.429729,70.7
3.13,108.19,29,16,52.470135,13.429742,70.7
3.25,105.50,29,16,52.470135,13.429742,71
3.25,108.19,29,16,52.470123,13.429756,71
3.25,105.50,29,16,52.470123,13.429756,72.4
3.25,105.50,29,16,52.470116,13.429766,73.3
3.13,108.19,29,16,52.470112,13.429766,73.3
3.13,102.87,29,16,52.470112,13.429766,73.4
3.25,108.19,29,16,52.4701,13.429771,73.4
3.25,105.50,29,16,52.4701,13.429771,74.5
3.13,108.19,29,16,52.470097,13.429777,75.2
3.13,108.19,29,16,52.470093,13.429788,75.2
