mq2,mq135,temp,hum,lat,lon,alt
138,383,29,27,52.598988,13.37218,0
137,153,29,27,52.598999,13.372169,35.2
137,145,29,27,52.599014,13.372159,36
137,144,29,27,52.599026,13.372146,36
137,145,29,27,52.599026,13.372146,36.3
137,143,26,18,52.599037,13.37213,36.3
138,144,29,27,52.599037,13.37213,36.8
137,144,29,27,52.599049,13.372121,37.1
137,144,29,27,52.599064,13.372117,37.1
137,143,29,27,52.599064,13.372117,38.5
136,146,29,27,52.599079,13.372109,38.5
136,140,29,27,52.599079,13.372109,39
136,142,26,18,52.599091,13.372101,38.7
136,142,29,27,52.599094,13.372096,38.7
135,140,29,27,52.599094,13.372096,38.2
135,144,29,27,52.599102,13.372087,38.2
135,137,29,27,52.599102,13.372087,37.7
135,143,29,27,52.599106,13.37208,36.7
136,137,29,27,52.599113,13.372072,36.7
136,143,26,18,52.599113,13.372072,36.6
135,141,26,17,52.599121,13.372062,36.5
136,141,29,27,52.599129,13.372051,35.8
136,143,29,27,52.599144,13.37204,36.9
136,142,29,27,52.599152,13.37203,36.9
136,141,28,28,52.599152,13.37203,36.6
136,140,26,17,52.599167,13.372015,37.2
136,144,28,28,52.599178,13.372003,37.7
136,144,28,28,52.59919,13.371991,37.8
135,139,28,28,52.599201,13.371977,37.8
136,141,28,28,52.599201,13.371977,37.8
136,141,28,28,52.599213,13.371963,37.8
136,141,28,28,52.599224,13.371945,37.9
136,140,28,28,52.599236,13.371929,37.9
136,141,28,28,52.599236,13.371929,38
136,140,28,28,52.599247,13.371908,38
136,139,28,28,52.599247,13.371908,38
136,140,28,28,52.599258,13.371891,38.2
136,141,28,28,52.59927,13.371872,38.4
136,144,28,28,52.599277,13.371854,38.4
136,138,28,28,52.599277,13.371854,38.5
137,143,28,28,52.599285,13.37184,38
137,149,28,28,52.599297,13.371824,37.9
138,131,28,28,52.599312,13.371809,37.9
136,141,28,28,52.599312,13.371809,38.1
135,143,28,28,52.599323,13.371796,38.5
134,143,28,28,52.599335,13.371781,38.8
135,134,28,28,52.599346,13.37177,38.8
135,138,28,28,52.599346,13.37177,39
135,136,24,18,52.599361,13.371757,39
136,152,28,28,52.599361,13.371757,38.8
136,138,28,28,52.599373,13.371744,38.8
136,146,24,18,52.599384,13.371733,38.8
136,139,28,28,52.599384,13.371733,38.6
136,140,28,28,52.599392,13.371725,38.6
136,139,24,19,52.599392,13.371725,38.2
136,141,28,28,52.599403,13.371716,37.7
136,142,28,28,52.599411,13.371702,37.7
136,138,28,28,52.599411,13.371702,37.5
137,140,28,28,52.599422,13.37169,37.5
137,141,28,28,52.599422,13.37169,37.2
137,140,28,28,52.599434,13.371677,37.4
138,145,28,28,52.599445,13.371669,37.4
138,140,28,28,52.599445,13.371669,37.7
138,144,28,28,52.599461,13.371659,37.7
138,140,28,28,52.599461,13.371659,38.2
138,142,24,18,52.599472,13.371651,38.4
137,142,28,28,52.599483,13.371641,38.4
137,139,28,28,52.599483,13.371641,38.2
137,141,24,19,52.599491,13.371629,38.2
138,138,27,28,52.599491,13.371629,37.9
137,142,28,28,52.599503,13.371614,38
137,142,27,28,52.599514,13.371599,38
137,141,27,28,52.599514,13.371599,37.9
136,142,28,28,52.599529,13.371591,37.9
137,139,27,28,52.599529,13.371591,38.6
137,141,27,28,52.599541,13.371578,38.6
